TT_amygdala_10_10	AA_amygdala_10_12	AA_amygdala_10_13	TT_amygdala_10_14	TI_amygdala_10_15	II_amygdala_10_16	II_amygdala_4_18	TI_amygdala_4_19	AA_amygdala_4_20	TT_amygdala_4_21	II_amygdala_4_22	TI_amygdala_4_23	AA_amygdala_4_24	II_amygdala_10_25	TI_amygdala_10_26	Geneid	Symbol
11.4275371375933	5.17425767269407	8.08581912340989	11.3739360175911	11.1747224530152	14.3455059794404	2.50884885713643	11.2762848770954	13.0797799540901	19.0495391617416	17.9194871162754	12.1751836940686	15.4405204449906	17.0158479561256	20.2172673236136	ENSMUSG00000051951	Xkr4
6.54309370464311	2.39731065630903	4.21411690580192	5.73974191758916	3.10221116973787	3.42065458672277	4.02492650873148	4.05214989493017	3.34392308117313	13.9557632648281	2.45010205375552	2.94865753920253	3.20155373160495	2.65968218606839	2.68513226156263	ENSMUSG00000033740	St18
2.15472825395518	0.791661522987553	0.794315552515271	1.02871166756052	1.16960304535171	1.1674446475382	0.735047907170251	1.04202369742175	0.859160472395326	0.362806684103947	0.973182815807633	0.861198209735464	1.20573623964254	0.920294161651964	0.816384349977468	ENSMUSG00000025912	Mybl1
3.56500171826906	7.93392419497117	4.48452709945552	4.87235613439066	7.11775032294226	3.95592445589916	13.7756791112781	7.06690628062513	5.81546155455366	4.36058752069384	4.27328820833742	4.35172673058477	4.16890198986186	4.75832676867912	4.0857082222527	ENSMUSG00000016918	Sulf1
0.813896140055757	1.12827129458757	1.60687761874316	1.65218127572432	1.47398728118121	1.38108466470298	0.750442919431451	1.50716797043426	1.58557559112121	0.547903952785268	0.84237622729502	1.57958511195287	0.792400661861209	0.456743181278724	0.915075437493104	ENSMUSG00000025776	Crispld1
0.669374594378089	0.406296914593445	0.486631263258869	0.607442023355075	0.970159102558978	0.548592499264308	0.138330267202485	0.722131461649073	1.12296684268201	1.02800946480369	0.826152189630919	1.02155998501501	1.02004283458298	1.29404187425927	0.68743665069124	ENSMUSG00000026141	Col19a1
7.95029899272004	3.71745403741187	7.97023126800331	8.94464592926464	6.5354632430096	4.84431472527926	3.6534810163043	6.55351270802748	6.11011154559342	2.68869974870187	5.02586838676993	4.53848687005087	3.13677382006484	3.62160231109932	3.32237502161113	ENSMUSG00000100131	Gm28439
10.1509465395617	11.3486066149873	8.15658725483725	10.4529913865437	6.0387085073959	3.26837184350341	6.66133545018123	7.38901708857619	4.05794260046893	3.98543036569574	2.27248414910045	5.58216174113466	5.57461662584889	4.21693927202802	2.76604509620379	ENSMUSG00000101111	Gm28437
15.8087698942323	20.5239061889387	27.8312916057975	23.9540443983111	5.40656327369414	6.16870680051863	8.51291498875102	7.148520436201	7.45923186304105	7.11547215330554	6.85974541989209	10.689455533871	6.42062935004706	3.18759367107321	5.3101966216205	ENSMUSG00000100862	Gm10925
14.463877045274	6.88256657076513	13.2339644857637	10.6601372776315	5.62937082178389	8.86166136374011	7.94902685367775	8.53441302452972	7.27782007520091	4.57343566464635	5.62898610313164	5.86896762480267	6.30064256764815	5.71728841773601	4.47241225897642	ENSMUSG00000101249	Gm29216
2.28629141249448	1.81724294663711	1.28896654160869	0.915599142645769	3.08892433067463	2.01650045991717	2.97175643469227	1.78996035514605	1.25325174990001	4.77908084352778	1.47375128181435	1.13478410757602	1.86658514698826	1.84042503654755	1.90582255243896	ENSMUSG00000026117	Zap70
0.201725055623154	0.29709837565753	0.553682089525246	0.370860433971689	0.261052420066325	0.406154778934877	1.90709168068097	0.51095558336076	0.262728803492135	1.38629292260636	0.624077383653549	0.448546285950516	0.505882095607212	1.21919951420565	1.15122757899841	ENSMUSG00000050122	Vwa3b
1.16999615351924	0.559273177486328	1.17275240291283	1.04543859319932	0.276498278048222	1.40798295137502	0.86745176996481	1.20706557216043	1.29601870537202	0.620244886815305	0.586089221353997	0.803577204695501	1.27071635680749	0.350533364347783	0.701246912900209	ENSMUSG00000099784	Dalir
1.49999349365164	6.35507243230065	0.735336819118081	1.39514196805955	2.90771816657213	1.34435018115802	1.44504135620826	0.42972202276719	3.8536317415704	2.45101437902148	1.55854856705681	0.726490151487331	1.68735175838506	0.815189717570648	1.00076742012196	ENSMUSG00000038331	Satb2
22.0762147070053	38.6406368576382	24.6364887234292	21.1720637627537	31.4826546119697	29.4787373198249	191.622629533292	48.3349033608558	25.6617941939651	35.7825310526186	24.0109577862184	23.555025780101	19.8457015465776	37.8898386619199	35.0118620518	ENSMUSG00000039323	Igfbp2
5.02081174969804	1.91480163777954	2.30085149356526	2.90856380581466	0.70559130817475	2.43264903414551	3.13310863972009	2.83134105349894	2.74088814121292	1.36976242808161	1.0341108095109	1.74090515005613	1.07567807030658	1.74379474678368	1.28899303044171	ENSMUSG00000026170	Cyp27a1
0.691225711591397	0.643780410438789	0.928034391441468	0.82806314767325	0.926535752077358	0.73744103174673	3.38183684749644	1.54483750267761	0.914255286296172	2.5912654431582	1.88996260094201	0.937610844040958	1.22336813817522	2.03627287368025	2.41477981545822	ENSMUSG00000047021	Cfap65
19.4496842896668	44.001779882521	35.4361863588333	42.7337898477484	42.9975549075758	28.9867552827543	20.81598333745	36.416463523576	45.8062877209647	17.7916675994469	16.3970098075221	30.8084301653064	19.1721569782541	13.2626906735847	15.6562129578201	ENSMUSG00000033007	Asic4
40.8678188699744	12.2798847555582	24.8691837990128	25.2461049461877	19.5972774292394	29.2735644939683	15.1720546990622	26.6939463543065	30.7459394243089	9.88025291901031	10.7517931659892	23.0372682725844	13.675621450781	11.8902840937734	8.89677337010553	ENSMUSG00000032908	Sgpp2
